"tipo";"id";"Tipo";"Fecha";"Departamen";"Municipio";"Vereda";"Latitud";"Longitud";"geometry";"maxcurvatura";"litologia";"suelo";"totalcurvatura";"ugm_p";"plancurvatura";"tpi";"tri";"aspect";"mincurvatura";"procurvature";"pendiente";"cobertura";"altitud";"distancia_dren";"distance_falla";"distance_via"
"event";"id_000";"Flujo";"9/3/2021";"VALLE DEL CAUCA";"JAMUNDI";"SAN ANTONIO";3.20095;-76.626369;c(716608.2716, 846066.1089);0.0165909063071012;28;34;0.000619520025793463;13;-0.0500879213213921;-19.137056350708;2;182.290603637695;-0.0229909066110849;0.00244185817427933;10.1421060562134;242;1148;62.5;318.688720703125;325
"event";"id_001";"Caida";"9/12/2020";"VALLE DEL CAUCA";"JAMUNDI";"JAMUNDI";3.271909;-76.605141;c(718989.5923, 853914.398);0.049600001424551;28;34;0.00406015990301967;40;0.0626294612884521;17.0050754547119;8.85437774658203;135;0.0399999991059303;0.0192707479000092;38.377799987793;231;1293;593.848693847656;514.781494140625;434.813171386719
"event";"id_002";"Deslizamiento";"6/12/2020";"VALLE DEL CAUCA";"JAMUNDI";"JAMUNDI";3.195202;-76.601101;c(719417.9241, 845422.9377);0.0501546636223793;12;58;0.00323584000580013;24;-0.0251875836402178;-3.34517765045166;6.98569965362549;25.0168933868408;-0.056554663926363;0.00569548225030303;31.9979648590088;231;1120;237.828720092773;743.303466796875;308.727233886719
"event";"id_003";"Deslizamiento";"30/11/2020";"VALLE DEL CAUCA";"JAMUNDI";"PUENTE VELEZ";3.233133;-76.625319;c(716733.9869, 849628.0659);-0.0136574376374483;28;34;0.000778239977080375;42;-0.0439855940639973;-10.7614212036133;3.84707689285278;126.253837585449;-0.0247425623238087;-0.0196700189262629;18.9879817962646;244;1245;201.94367980957;664.384094238281;664.384094238281
"event";"id_004";"Deslizamiento";"28/11/2020";"VALLE DEL CAUCA";"JAMUNDI";"JAMUNDI";3.183922;-76.650886;c(713875.8377, 844188.1027);0.033973902463913;18;29;0.00141824001912028;42;0.033188883215189;12.532995223999;2.28035092353821;287.447174072266;-0.0211738999933004;0.0056731104850769;11.5279731750488;231;1461;517.958740234375;229.809707641602;12.5
"event";"id_005";"Deslizamiento";"25/11/2020";"VALLE DEL CAUCA";"JAMUNDI";"VILLA COLOMBIA";3.203081;-76.683249;c(710280.4267, 846317.9004);0.0115882251411676;18;29;9.2160000349395e-05;42;0;-2.09644675254822;1.34164083003998;90;-0.0019882251508534;0.00939631089568138;6.8427734375;242;1487;63.7377433776855;2367.38916015625;12.5
"event";"id_006";"Deslizamiento";"25/11/2020";"VALLE DEL CAUCA";"JAMUNDI";"JAMUNDI";3.203081;-76.683249;c(710280.4267, 846317.9004);0.0115882251411676;18;29;9.2160000349395e-05;42;0;-2.09644675254822;1.34164083003998;90;-0.0019882251508534;0.00939631089568138;6.8427734375;242;1487;63.7377433776855;2367.38916015625;12.5
"event";"id_007";"Deslizamiento";"24/11/2020";"VALLE DEL CAUCA";"JAMUNDI";"SAN ANTONIO";3.206833;-76.620161;c(717300.5701, 846715.5645);0.0162262860685587;28;34;0.000302080006804317;5;0.143108353018761;5.12690353393555;1;18.4349479675293;-0.00662628561258316;-0.00316198053769767;5.1110897064209;231;1312;391.311889648438;665.324157714844;0
"event";"id_008";"Deslizamiento";"24/11/2020";"VALLE DEL CAUCA";"JAMUNDI";"SAN ANTONIO";3.210339;-76.644011;c(714648.0654, 847110.2622);0.0131138442084193;18;29;0.000138239993248135;3;0;7.37563467025757;1.34164083003998;348.690063476562;-0.00351384398527443;0.00939631089568138;6.8427734375;244;1513;739.192993164062;304.138122558594;0
"event";"id_009";"Deslizamiento";"24/11/2020";"VALLE DEL CAUCA";"JAMUNDI";"JAMUNDI";3.298636;-76.637421;c(715406.058, 856881.8726);0.0603912994265556;23;26;0.00532991997897625;19;0.0527044385671616;13.4416246414185;10.1980390548706;127.983497619629;0.0420086979866028;0.0219089090824127;42.3692054748535;3231;2257;972.914428710938;1434.07202148438;2075.3388671875
